model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
lenovo ideapad gaming 3 82sa00b2in laptop,lenovo,12th gen core i7,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.0,1920 x 1200,14,20,79,105990,True,False
lenovo ideapad slim 5 82ln00jsin laptop,lenovo,ryzen 7 5700u,16,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,8,16,68,64990,False,True
msi pulse gl66 12uek-898in gaming laptop,micro star international,12th gen core i9,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,2560 x 1440,14,20,75,135000,True,False
chuwi herobook air laptop,chuwi,intel celeron n4020,4,128,32,Windows,Intel HD Graphics,14.1,1366 x 768,2,2,42,15990,False,True
msi vector gp66 12ueo-646in gaming laptop,micro star international,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,14,20,85,134000,True,False
lenovo ideapad slim 3 81x800lcin laptop,lenovo,11th gen core i3,8,256,564,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,49,33990,False,True
msi modern 14 b5m-242in laptop,micro star international,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon Radeon,14.0,1920 x 1080,6,12,59,44290,False,True
hp envy x360 13-bf0059tu laptop,hewlett packard,12th gen core i7,16,512,1000,Windows,Intel Iris X Graphics,13.3,2880 x 1800,10,12,68,102123,False,True
asus zenbook pro duo 14 oled 2022 ux8402ze-m711ws laptop,asus,12th gen core i7,16,1000,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,14.5,2880 x 1800,14,20,81,159990,False,True
dell vostro 3425 d552305win9be laptop,dell,amd ryzen 3 5425u,8,256,1000,Windows,AMD Radeon AMD,14.0,1920 x 1080,4,8,59,38663,False,True
lenovo ideapad slim 3 82h802kvin laptop,lenovo,11th gen core i5,8,512,1000,Windows,Intel Iris XE Graphic,15.6,1920 x 1080,4,8,59,55490,False,True
dell vostro 3425 d552309win9be laptop,dell,amd ryzen 3 5425u,8,512,1000,Windows,AMD Radeon AMD,14.0,1920 x 1080,4,8,61,38990,False,True
acer extensa ex215-54 nx.egjsi.00n laptop,acer,11th gen core i5,8,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,59,40990,False,True
hp pavilion 15s-fr5007tu laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,10,12,59,59490,False,True
lenovo ideapad slim 3i 81wq00nxin laptop,lenovo,intel celeron n4020,8,256,564,Windows,Intel Integrated UHD,15.6,1366 x 768,2,2,49,28980,False,True
asus vivobook 15 2022 x1502za-ej302ws laptop,asus,12th gen core i3,8,256,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,10,12,51,40990,False,True
hp 15s-ey1508au laptop,hewlett packard,amd ryzen 3 3250u,8,256,564,Windows,AMD Radeon Radeon,15.6,1366 x 768,2,4,55,29990,False,True
msi thin gf63 11uc-866in gaming laptop,micro star international,11th gen core i7,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,16,69,65590,True,False
asus vivobook pro 15 oled m6500ih-l1701ws laptop,asus,ryzen 7 4800h,16,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650 Max Q,15.6,1920 x 1080,8,16,68,64990,False,True
lenovo ideapad slim 3 82ku017ein laptop,lenovo,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon,15.6,1920 x 1080,6,12,65,48990,False,True
lenovo ideapad gaming 3 82k201ukin laptop,lenovo,ryzen 7 5800h,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,16,67,77850,True,False
lenovo ideapad 3 14itl6 82h701dyin laptop,lenovo,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,2,4,50,37990,False,True
dell latitude 5320 business laptop,dell,11th gen core i5,8,512,1000,Windows,Intel UHD Graphics,13.3,1920 x 1080,4,8,62,102400,False,True
msi thin gf63 11uc-867in gaming laptop,micro star international,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,67,56990,True,False
hp 15s-fr2514tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,44,38499,False,True
asus zenbook flip 14 oled up5401za-kn501ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,14.0,2880 x 1800,12,16,65,85990,False,True
acer aspire 3 a315-23 un.hvtsi.013 laptop,acer,ryzen 3 3250u,8,256,1000,Windows,AMD Radeon AMD,15.6,1920 x 1200,2,4,54,26990,False,True
hp 15s-dr3506tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,61,43990,False,True
